url,name,labels,כתובת,שעות פתיחה,טלפון,אחראית טבילה,שירותים
https://rabanut.co.il/mikvah/%d7%91%d7%99%d7%a6%d7%a8%d7%95%d7%9f/,ביצרון,"מקווה כלים, מתאים לנכים","ההשכלה 10, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ  בשעה 22:30 , בחורף בשעה 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-5610089
                    ","שרעבני דינה
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש
 

                    "
https://rabanut.co.il/mikvah/%d7%91%d7%a8-%d7%9b%d7%95%d7%9b%d7%91%d7%90/,בר כוכבא,"חב""ד, מקווה גברים, מקווה כלים","בר כוכבא 54, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ בשעה 22:30  , בחורף בשעה 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-5288055
                    "," יהודית סופר
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש

                    "
https://rabanut.co.il/mikvah/%d7%94%d7%93%d7%a8-%d7%99%d7%95%d7%a1%d7%a3/,הדר יוסף,"חב""ד, מקווה גברים, מקווה כלים, מתאים לנכים","מרק יעקב 3, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ  בשעה 22:00 , בחורף בשעה 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-6470960
                    "," שיפרה גליקסנברג
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש
 

                    "
https://rabanut.co.il/mikvah/%d7%99%d7%93-%d7%90%d7%9c%d7%99%d7%94%d7%95/,יד אליהו,"מקווה גברים, מקווה כלים","החי""ל 4, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ  בשעה 22:30 , בחורף בשעה 21:00
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-5371256
                    ","ראובני פרידה
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש
 

                    "
https://rabanut.co.il/mikvah/%d7%99%d7%a4%d7%95-%d7%94%d7%aa%d7%97%d7%99%d7%94/,יפו – התחייה  פינת 3952,"מקווה גברים, מתאים לנכים","התחיה 4 פינת 3952, תל אביב יפו
                    "," 
הכניסה מרחוב 3952
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ  בשעה 22:00 , בחורף בשעה 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-6827142
                    ","שירו נתנאלה
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש
נגישות בסיסית
 

                    "
https://rabanut.co.il/mikvah/%d7%99%d7%a4%d7%95-%d7%a1%d7%92%d7%a8%d7%94/,יפו – סג'רה,,"סג'רה 9, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה:  בשעה 22:00
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-6965166
                    ","רחל מורדו 052-6218097
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש
 

                    "
https://rabanut.co.il/mikvah/%d7%9b%d7%a4%d7%99%d7%a8/,כפיר,"מקווה גברים, מקווה כלים","בושם 56, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ  בשעה 22:30 , בחורף בשעה 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-6319535
                    ","יעקוב-פור אילנה
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש
 

                    "
https://rabanut.co.il/mikvah/%d7%9e%d7%a8%d7%9b%d7%96-%d7%99%d7%91%d7%a0%d7%94/,מרכז-יבנה,"חב""ד, מקווה גברים, מקווה כלים","יבנה 10, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה:  בקיץ בשעה 22:30  , בחורף 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-6296512
                    ","הדסה לביא
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש

                    "
https://rabanut.co.il/mikvah/%d7%a0%d7%95%d7%94-%d7%a9%d7%a8%d7%aa/,נוה שרת,"מקווה גברים, מקווה כלים","ראול ולנברג 37, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ  בשעה 22:30 , בחורף בשעה 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-6472626
                    ","גילה נתנאל
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש

                    "
https://rabanut.co.il/mikvah/%d7%a0%d7%95%d7%95%d7%94-%d7%a2%d7%95%d7%a4%d7%a8-%d7%aa%d7%9c-%d7%9b%d7%91%d7%99%d7%a8/,נווה עופר-תל כביר,"חב""ד, מקווה גברים, מקווה כלים, מתאים לנכים","אוריאל יעקובוב 4, תל אביב יפו
                    "," 
ימי חול-
פתיחה: לפי זמן הדלקת נרות שבת
סגירה: בקיץ  בשעה 22:30 , בחורף בשעה 21:30
ליל שבת וחג-
פתיחה: חצי שעה אחרי הדלקת נרות
סגירה: שעה וחצי לאחר הדלקת נרות
מוצאי שבת וחג-
פתיחה: 45 דקות אחרי צאת שבת
סגירה: שעתיים וחצי לאחר הפתיחה.

                    ","03-5187164
                    ","שולמית רבי
                    ","תחבורה ציבורית
יבוש שיער
אמבטיה
מגבות
כלה בשנה הראשונה חינם
פתוח במוצ""ש
נגישות מלאה
 

                    "
