city,name,category,street,full_address
חגור,"
משק אהרון- שמן זית 
",פרווה,הכלנית 74,"הכלנית 74, חגור"
מודיעין-מכבים-רעות,"
טנג'וי – TenJoy 
","חלבי, פרווה",חטיבת גולני 9,"חטיבת גולני 9, מודיעין-מכבים-רעות"
רעננה,"
טסה שוקולד בע""מ 
",,התעשייה 2,"התעשייה 2, רעננה"
חולון,"
פירות וירקות האחים סרור 
",פרווה,חנקין 70,"חנקין 70, חולון"
חולון,"
קצביית האחים סרור 
",בשרי,חנקין 69,"חנקין 69, חולון"
חולון,"
סופר מרקט סרור 
",,חנקין 79,"חנקין 79, חולון"
חולון,"
סופר האחים סרור 
",,חנקין 70,"חנקין 70, חולון"
ירושלים,"
הגורן 
",בשרי,ריבלין 1,"ריבלין 1, ירושלים"
גבעת שמואל,"
כריך בריא 
","בשרי, חלבי",ז'בוטינסקי 48,"ז'בוטינסקי 48, גבעת שמואל"
גבעת שמואל,"
טנג'וי  TenJoy 
",חלבי,מנחם בגין 30,"מנחם בגין 30, גבעת שמואל"
תל אביב יפו,"
בייקר סטריט / מר ג'רז 
",חלבי,בר כוכבא 48,"בר כוכבא 48, תל אביב יפו"
תל יצחק,"
טורטארט 
","חלבי, פרווה",תל יצחק,"תל יצחק, תל יצחק"
שדה בועז,"
הימלאיה צ'אי בר 
","חלבי, פרווה",שדה בועז,"שדה בועז, שדה בועז"
ירושלים,"
נופי ירושלים 
",בשרי,שחראי 24,"שחראי 24, ירושלים"
אשקלון,"
סבתא עזיזה 
",בשרי,הנשיא 4,"הנשיא 4, אשקלון"
ירושלים,"
מסעדת אמא קרית ענבים 
",בשרי,קרית ענבים פארק כרמים,"קרית ענבים פארק כרמים, ירושלים"
כפר סבא,"
באנבשר 
",בשרי,רוטשילד 45,"רוטשילד 45, כפר סבא"
הוד השרון,"
צ'ופ צ'ופ (אבסטרקט קייטרינג) 
",בשרי,נווה הדר,"נווה הדר, הוד השרון"
ירושלים,"
סיפתח פארק סן סימון 
",חלבי,מעלה זאב 3,"מעלה זאב 3, ירושלים"
ירושלים,"
סיפתח מרכז המוזיקה 
",חלבי,אליעזר הגדול 2,"אליעזר הגדול 2, ירושלים"
ירושלים,"
איצ'יקדנה קולינריה הודית אמיתית 
",חלבי,הלל 24,"הלל 24, ירושלים"
ירושלים,"
בראנצ' כריכים וארוחות- קפיטריה 
",חלבי,מנדי רודן 1,"מנדי רודן 1, ירושלים"
ירושלים,"
בראנצ' כריכים וארוחות 
","בשרי, חלבי","דרך בלפור 4, גבעת רם","דרך בלפור 4, גבעת רם, ירושלים"
תל אביב יפו,"
אבן עזרא 
",בשרי,המשביר 2,"המשביר 2, תל אביב יפו"
תל אביב יפו,"
די אן איי DNA 
",בשרי,דרך בגין 132,"דרך בגין 132, תל אביב יפו"
תל אביב יפו,"
קירש קפה 
","חלבי, פרווה",דיזנגוף 189,"דיזנגוף 189, תל אביב יפו"
גדיש,"
יופי מתוק 
","חלבי, פרווה",משק 1,"משק 1, גדיש"
תל אביב יפו,"
לארטיזן דה דליס – בית מאפה אלחרר 
","בשרי, חלבי, פרווה",בוגרשוב 31,"בוגרשוב 31, תל אביב יפו"
פרדס חנה,"
לאוון פטיסרי Leaven Patisserie 
","חלבי, פרווה",המושב 33,"המושב 33, פרדס חנה"
קרית טבעון,"
סקול קפה- אורט גרינברג חט""ב 
","בשרי, חלבי",תמר 1,"תמר 1, קרית טבעון"
קרית טבעון,"
סקול קפה – אורט גרינברג חט""ע 
","בשרי, חלבי",כצנלסון 1,"כצנלסון 1, קרית טבעון"
ירושלים,"
ארומה קינג ג'ורג' 
",חלבי,קינג ג'ורג' 14,"קינג ג'ורג' 14, ירושלים"
קרית אונו,"
בליך החזקות- קפיטריה בן צבי 
","בשרי, חלבי",הזמיר 2,"הזמיר 2, קרית אונו"
רמות מנשה,"
רק בשר 
",בשרי,רמות מנשה,"רמות מנשה, רמות מנשה"
אשקלון,"
יונה ושועל 
",בשרי,ההדרים 6,"ההדרים 6, אשקלון"
בת ים,"
מגדלי הים התיכון בת ים (פינלן קפיטל השקעות) 
",בשרי,הים 2,"הים 2, בת ים"
עכו,"
קריספי 
","בשרי, חלבי",דרך המכללה 1,"דרך המכללה 1, עכו"
נשר,"
שווארמה בכיכר 
",בשרי,ברק 2,"ברק 2, נשר"
נשר,"
סביחא 
",בשרי,ברק 2,"ברק 2, נשר"
ירושלים,"
בין עזה לברלין 
",בשרי,עזה 19,"עזה 19, ירושלים"
תל אביב יפו,"
קיטשן 94 
",בשרי,יגאל אלון 74,"יגאל אלון 74, תל אביב יפו"
נווה ימין,"
יקב נווה ימין 
",פרווה,הברוש 47,"הברוש 47, נווה ימין"
אשקלון,"
אלגרה ולאון 
",חלבי,הנמל 9,"הנמל 9, אשקלון"
בת ים,"
ארומה רוטשילד 
",חלבי,רוטשילד 29,"רוטשילד 29, בת ים"
תל אביב יפו,"
גרונימן גן ירק 
",חלבי,גרונימן 8,"גרונימן 8, תל אביב יפו"
תל אביב יפו,"
טאלי לאמה 
",פרווה,מנחם בגין 48,"מנחם בגין 48, תל אביב יפו"
תל אביב יפו,"
חוות נעמי 
","בשרי, חלבי",החשמונאים 107,"החשמונאים 107, תל אביב יפו"
מחניים,"
מבשלים ביחד 
",בשרי,"""יחד בגליל"" קיבוץ מחניים","""יחד בגליל"" קיבוץ מחניים, מחניים"
יסוד המעלה,"
פו בכיכר 
",בשרי,השמורה 1,"השמורה 1, יסוד המעלה"
ראש פינה,"
אוסול 
",פרווה,האגס 1,"האגס 1, ראש פינה"
יסוד המעלה,"
אוסול 
",פרווה,יסוד המעלה,"יסוד המעלה, יסוד המעלה"
נווה צוף,"
הבוסתן 
",פרווה,השקד 31,"השקד 31, נווה צוף"
פתח תקווה,"
בסט רנט 
","בשרי, חלבי",הסיבים 18,"הסיבים 18, פתח תקווה"
יהוד,"
חוות נעמי יהוד 
","בשרי, חלבי",משה דיין 3,"משה דיין 3, יהוד"
תל אביב יפו,"
אומאיי עזריאלי Oomai 
",בשרי,מנחם בגין 132,"מנחם בגין 132, תל אביב יפו"
נתניה,"
פלאפל ציון 
",בשרי,שמואל הנציב 6,"שמואל הנציב 6, נתניה"
אלפי מנשה,"
לה בנצ'טו 
",חלבי,גלבוע 83,"גלבוע 83, אלפי מנשה"
בנימינה,"
רון פטיסרי  RON Pâtisserie 
",חלבי,המייסדים 30,"המייסדים 30, בנימינה"
הרצליה,"
ליב 
",בשרי,משכית 32,"משכית 32, הרצליה"
חולון,"
מרלי ברקפה 
",חלבי,קראוזה 43,"קראוזה 43, חולון"
רמת גן,"
דלי טיים  DELI  TIME 
","בשרי, חלבי",רזיאל 26,"רזיאל 26, רמת גן"
תל אביב יפו,"
מוצ'יקווה 
",חלבי,בן יהודה 89,"בן יהודה 89, תל אביב יפו"
ירושלים,"
קובאלי 
","בשרי, פרווה",אברהם ארסט 11/10,"אברהם ארסט 11/10, ירושלים"
נס ציונה,"
פינובייקרי- בית קפה 
",חלבי,יקינטון 6,"יקינטון 6, נס ציונה"
באקה אל גרביה,"
רוג'ום אירועים יפים בטבע בע""מ 
","בשרי, חלבי",באקה אל גרביה,"באקה אל גרביה, באקה אל גרביה"
גני יוחנן,"
בושקראפט 69 
",בשרי,הרקפת 69,"הרקפת 69, גני יוחנן"
תל אביב יפו,"
גרציאני בהשכלה 
",חלבי,שדרות ההשכלה 20,"שדרות ההשכלה 20, תל אביב יפו"
ירושלים,"
בירה קדימה 
",פרווה,בית הדפוס 11,"בית הדפוס 11, ירושלים"
נס ציונה,"
מתוק התפוח 
",פרווה,ההדרים 11,"ההדרים 11, נס ציונה"
גדרה,"
מרכז הבשר 
",בשרי,אירוס 1,"אירוס 1, גדרה"
קרית עקרון,"
לומיטו מעדני בשר 
",בשרי,שדרות המלך חסן 6,"שדרות המלך חסן 6, קרית עקרון"
תל אביב יפו,"
מורן גיל קייקרי 
",חלבי,אלנבי 31,"אלנבי 31, תל אביב יפו"
גני תקווה,"
מגדלי הים התיכון- קפיטריה 
",חלבי,דרך הים 5,"דרך הים 5, גני תקווה"
לוד,"
שף סנטר- יונילוור 
","בשרי, חלבי",קרית שדה התעופה,"קרית שדה התעופה, לוד"
קרית מוצקין,"
קפה פלור 
",חלבי,שדרות משה גושן 6,"שדרות משה גושן 6, קרית מוצקין"
בת שלמה,"
משק לב אדם 
",חלבי,בת שלמה,"בת שלמה, בת שלמה"
באר שבע,"
טרה ג'ולי Très Jolie 
","חלבי, פרווה",ראובן רובין 3,"ראובן רובין 3, באר שבע"
באר שבע,"
רוסטרס באר שבע 
",חלבי,יעקב כהן 12,"יעקב כהן 12, באר שבע"
מודיעין מכבים רעות,"
רוסטרס מודיעין 
",חלבי,דם המכבים 55,"דם המכבים 55, מודיעין מכבים רעות"
תל אביב יפו,"
דדלוס 
",חלבי,נחלת יצחק 32,"נחלת יצחק 32, תל אביב יפו"
בני ציון,"
זוקו קייטרינג 
",בשרי,התלתן 7,"התלתן 7, בני ציון"
תל אביב יפו,"
פרי FREE 
",בשרי,אלוף קלמן מגן 3,"אלוף קלמן מגן 3, תל אביב יפו"
באר שבע,"
גלידה מרג'לטו 
","חלבי, פרווה",יוהנה ז'בוטינסקי 13,"יוהנה ז'בוטינסקי 13, באר שבע"
באר שבע,"
האיש עם השפם 
",חלבי,יעקב כהן 14,"יעקב כהן 14, באר שבע"
סתריה,"
מקרוני הפקות בע""מ 
",חלבי,סתריה,"סתריה, סתריה"
אור עקיבא,"
גרגרים 
",בשרי,שדרות הנשיא וייצמן 1,"שדרות הנשיא וייצמן 1, אור עקיבא"
תל אביב יפו,"
גביז גודיז בע""מ 
",חלבי,אלנבי 31,"אלנבי 31, תל אביב יפו"
שדה בוקר,"
יקב שדה בוקר 
",,שדה בוקר,"שדה בוקר, שדה בוקר"
ראש העין,"
דלי טופ  DELI TOP 
","בשרי, חלבי",שבזי 187,"שבזי 187, ראש העין"
פרדס חנה,"
המזווה בוטיק בשרים 
","בשרי, חלבי",המושב 42,"המושב 42, פרדס חנה"
תל אביב יפו,"
אילנס תל אביב   Tatti TLV 
",חלבי,קרליבך 4,"קרליבך 4, תל אביב יפו"
נחושה,"
תן טראק – תן truck 
",בשרי,נחושה,"נחושה, נחושה"
